team_a,team_b,diff_avg_goals_for,diff_avg_goals_against,diff_win_rate,diff_recent_form,label
France,Mexico,0.721138471378318,-0.5324592260952992,0.21042532779021428,1.0,1
Mexico,France,-0.721138471378318,0.5324592260952992,-0.21042532779021428,-1.0,0
USA,Belgium,-0.14708056171470818,0.2690317812269032,-0.09903917220990391,0.19999999999999996,1
Belgium,USA,0.14708056171470818,-0.2690317812269032,0.09903917220990391,-0.19999999999999996,0
Yugoslavia,Brazil,-0.5033783783783785,0.26247401247401236,-0.24064449064449073,-0.19999999999999996,1
Brazil,Yugoslavia,0.5033783783783785,-0.26247401247401236,0.24064449064449073,0.19999999999999996,0
Romania,Peru,0.161904761904762,-0.5428571428571434,0.11428571428571427,0.7999999999999999,1
Peru,Romania,-0.161904761904762,0.5428571428571434,-0.11428571428571427,-0.7999999999999999,0
Argentina,France,-0.09531146819282421,-0.11248073959938365,0.07087827426810472,-1.0,1
France,Argentina,0.09531146819282421,0.11248073959938365,-0.07087827426810472,1.0,0
Chile,Mexico,0.13664951400800462,-0.2510005717552888,0.0691823899371069,0.19999999999999996,1
Mexico,Chile,-0.13664951400800462,0.2510005717552888,-0.0691823899371069,-0.19999999999999996,0
Yugoslavia,Bolivia,1.454954954954955,-2.09009009009009,0.4324324324324324,0.8,1
Bolivia,Yugoslavia,-1.454954954954955,2.09009009009009,-0.4324324324324324,-0.8,0
USA,Paraguay,0.010101010101009944,0.47138047138047146,-0.016835016835016786,0.7999999999999999,1
Paraguay,USA,-0.010101010101009944,-0.47138047138047146,0.016835016835016786,-0.7999999999999999,0
Uruguay,Peru,0.3019607843137253,-0.6745098039215689,0.12549019607843137,0.9999999999999999,1
Peru,Uruguay,-0.3019607843137253,0.6745098039215689,-0.12549019607843137,-0.9999999999999999,0
Chile,France,-0.5844889573703134,0.2814586543400104,-0.14124293785310738,-0.8,1
France,Chile,0.5844889573703134,-0.2814586543400104,0.14124293785310738,0.8,0
Argentina,Mexico,0.6258270031854938,-0.6449399656946828,0.281303602058319,0.0,1
Mexico,Argentina,-0.6258270031854938,0.6449399656946828,-0.281303602058319,0.0,0
Brazil,Bolivia,1.9583333333333335,-2.352564102564102,0.6730769230769231,1.0,1
